unit,age,sex,geography,date,value
RT,TOTAL,C,F,2014,196.33
RT,TOTAL,C,F,2014,200.63
RT,TOTAL,C,F,2014,178.32
RT,TOTAL,C,F,2014,178.17
RT,TOTAL,C,F,2014,247.05
RT,TOTAL,C,F,2014,266.47
RT,TOTAL,C,F,2014,248.25
RT,TOTAL,C,F,2014,221.18
RT,TOTAL,C,F,2014,187.26
RT,TOTAL,C,F,2014,192.76
RT,TOTAL,C,F,2014,188.77
RT,TOTAL,C,F,2014,193.98
RT,TOTAL,C,F,2014,211.98
RT,TOTAL,C,F,2014,176.75
RT,TOTAL,C,F,2014,232.75
RT,TOTAL,C,F,2014,211.93
RT,TOTAL,C,F,2014,222.0
RT,TOTAL,C,F,2014,166.71
RT,TOTAL,C,F,2014,194.27
RT,TOTAL,C,F,2014,232.39
RT,TOTAL,C,F,2014,203.3
RT,TOTAL,C,F,2014,223.71
RT,TOTAL,C,F,2014,239.02
RT,TOTAL,C,F,2014,126.82
RT,TOTAL,C,F,2014,234.8
RT,TOTAL,C,M,2014,320.74
RT,TOTAL,C,M,2014,333.91
RT,TOTAL,C,M,2014,333.16
RT,TOTAL,C,M,2014,289.09
RT,TOTAL,C,M,2014,274.57
RT,TOTAL,C,M,2014,382.43
RT,TOTAL,C,M,2014,328.43
RT,TOTAL,C,M,2014,363.16
RT,TOTAL,C,M,2014,466.68
RT,TOTAL,C,M,2014,344.95
RT,TOTAL,C,M,2014,337.04
RT,TOTAL,C,M,2014,349.92
RT,TOTAL,C,M,2014,349.14
RT,TOTAL,C,M,2014,283.46
RT,TOTAL,C,M,2014,339.66
RT,TOTAL,C,M,2014,474.29
RT,TOTAL,C,M,2014,478.7
RT,TOTAL,C,M,2014,346.55
RT,TOTAL,C,M,2014,307.96
RT,TOTAL,C,M,2014,332.04
RT,TOTAL,C,M,2014,222.7
RT,TOTAL,C,M,2014,441.42
RT,TOTAL,C,M,2014,356.45
RT,TOTAL,C,M,2014,476.86
RT,TOTAL,C,M,2014,308.78
RT,TOTAL,C,M,2014,356.65
RT,TOTAL,C,M,2014,315.3
RT,TOTAL,C,M,2014,405.89
RT,TOTAL,C,M,2014,350.33
RT,TOTAL,C,M,2014,381.91
RT,TOTAL,C,M,2014,386.35
RT,TOTAL,C,M,2014,282.37
RT,TOTAL,C,M,2014,424.39
RT,TOTAL,C,M,2014,463.51
RT,TOTAL,C,M,2014,302.46
RT,TOTAL,C,M,2014,341.37
RT,TOTAL,C,T,2014,249.29
RT,TOTAL,C,T,2014,252.64
RT,TOTAL,C,T,2014,242.76
RT,TOTAL,C,T,2014,219.58
RT,TOTAL,C,T,2014,200.39
RT,TOTAL,C,T,2014,284.55
RT,TOTAL,C,T,2014,253.25
RT,TOTAL,C,T,2014,300.64
RT,TOTAL,C,T,2014,299.41
RT,TOTAL,C,T,2014,249.46
RT,TOTAL,C,T,2014,232.7
RT,TOTAL,C,T,2014,259.25
RT,TOTAL,C,T,2014,261.51
RT,TOTAL,C,T,2014,218.57
RT,TOTAL,C,T,2014,245.24
